t,feat_mean_5m,feat_min_5m,feat_std_5m,feat_slope_5m,label_next_30min
3111.0,99.61,99.0,0.48856489044311535,-0.0033333333333333335,0
3112.0,99.60666666666667,99.0,0.4893059266500386,-0.0033333333333333335,0
3113.0,99.60333333333334,99.0,0.4900230923048188,-0.0033333333333333335,0
3114.0,99.6,99.0,0.4907164920654952,-0.0033333333333333335,0
3115.0,99.59666666666666,99.0,0.49138622654091335,-0.0033333333333333335,0
3116.0,99.59333333333333,99.0,0.4920323923677533,-0.0033333333333333335,0
3117.0,99.59,99.0,0.4926550822838592,-0.0033333333333333335,0
3118.0,99.58666666666667,99.0,0.4932543851980048,-0.0033333333333333335,0
3119.0,99.58333333333333,99.0,0.4938303862562242,-0.0033333333333333335,0
3120.0,99.58,99.0,0.4943831669048268,-0.0033333333333333335,0
3121.0,99.57666666666667,99.0,0.49491280495020995,-0.0033333333333333335,0
3122.0,99.57333333333334,99.0,0.4954193746155751,-0.0033333333333333335,0
3123.0,99.57,99.0,0.4959029465946485,-0.0033333333333333335,0
3124.0,99.56666666666666,99.0,0.4963635881024981,-0.0033333333333333335,0
3125.0,99.56333333333333,99.0,0.4968013629235354,-0.0033333333333333335,0
3126.0,99.56,99.0,0.497216331456784,-0.0033333333333333335,0
3127.0,99.55666666666667,99.0,0.49760855075849236,-0.0033333333333333335,0
3128.0,99.55333333333333,99.0,0.4979780745821606,-0.0033333333333333335,0
3129.0,99.55,99.0,0.49832495341605065,-0.0033333333333333335,0
3130.0,99.54666666666667,99.0,0.4986492345182398,-0.0033333333333333335,0
3131.0,99.54333333333334,99.0,0.49895096194927646,-0.0033333333333333335,0
3132.0,99.54,99.0,0.4992301766024911,-0.0033333333333333335,0
3133.0,99.53666666666666,99.0,0.49948691623201186,-0.0033333333333333335,0
3134.0,99.53333333333333,99.0,0.49972121547853016,-0.0033333333333333335,0
3135.0,99.53,99.0,0.49993310589285705,-0.0033333333333333335,0
3136.0,99.52666666666667,99.0,0.5001226159573091,-0.0033333333333333335,0
3137.0,99.52333333333333,99.0,0.5002897711049566,-0.0033333333333333335,0
3138.0,99.52,99.0,0.500434593736766,-0.0033333333333333335,0
3139.0,99.51666666666667,99.0,0.5005571032366621,-0.0033333333333333335,0
3140.0,99.51333333333334,99.0,0.5006573159845358,-0.0033333333333333335,0
3141.0,99.51,99.0,0.5007352453672143,-0.0033333333333333335,0
3142.0,99.50666666666666,99.0,0.5007909017874165,-0.0033333333333333335,0
3143.0,99.50333333333333,99.0,0.5008242926707005,-0.0033333333333333335,0
3144.0,99.5,99.0,0.5008354224704215,-0.0033333333333333335,0
3145.0,99.49666666666667,99.0,0.5008242926707009,-0.0033333333333333335,0
3146.0,99.49333333333334,99.0,0.5007909017874173,-0.0033333333333333335,0
